Feature,Average Pointwise Mutual Information
Average Word Length,0.9786743623676301
Unique_Words/Total_Words,0.9786743623676301
Positive Sentiment,0.9786743623676301
Negative Sentiment,0.9786743623676301
<s>,0.9786743623676301
</s>,0.9786743623676301
hillary clinton,0.9786429518591304
americans,0.9786429518591304
democrats,0.9786429518591304
three,0.9786429518591304
law,0.9786429518591304
insurance,0.9786429518591304
high,0.9786429518591304
.,0.9786045278778455
president,0.9785921220585596
. </s> </s>,0.9785159576656575
tax,0.9784445389417307
list,0.9781354322909153
not,0.9781354322909153
person,0.9781354322909153
rate,0.9781354322909153
cut,0.9781354322909153
billion,0.9781354322909153
rates,0.9781354322909153
almost,0.9781354322909153
<s> united states,0.9781354322909153
9,0.9781354322909153
<s> <s> president,0.9781354322909153
rubio,0.9781354322909153
including,0.9781354322909153
ohio,0.9781354322909153
not_one,0.9781354322909153
helped,0.9781354322909153
florida,0.9781354322909153
coverage,0.9781354322909153
prison,0.9781354322909153
found,0.9781354322909153
2013,0.9781354322909153
gun,0.9781354322909153
600,0.9781354322909153
dan,0.9781354322909153
officers,0.9781354322909153
majority,0.9781354322909153
2012,0.9781354322909153
<s> <s> gov,0.9781354322909153
<s> gov .,0.9781354322909153
special,0.9781354322909153
budgets,0.9781354322909153
money,0.9781354322909153
government . </s>,0.9781354322909153
passed,0.9781354322909153
afghanistan,0.9781354322909153
benefits,0.9781354322909153
small,0.9781354322909153
kids,0.9781354322909153
<s> <s> texas,0.9781354322909153
representatives,0.9781354322909153
district,0.9781354322909153
background,0.9781354322909153
wisconsins,0.9781354322909153
11,0.9781354322909153
<s> says president,0.9781354322909153
two,0.9779955867031074
romney,0.9779955867031074
already,0.9779955867031074
children,0.9779955867031074
perry,0.9779955867031074
line,0.9779955867031074
ever,0.9779955867031074
social,0.9779955867031074
thats,0.9779955867031074
workers,0.9779955867031074
combined,0.9779955867031074
taxes . </s>,0.9779955867031074
bush,0.9779955867031074
years,0.9779955867031073
pay,0.9779955867031073
new,0.9776265624271734
bill,0.9773286025185879
united,0.9765848495523297
four,0.9761685179639413
middle,0.9758463925578496
know,0.9758463925578496
like,0.9758463925578496
legislation,0.9741888180787863
number,0.9741888180787863
oregon,0.9741888180787863
states,0.9741888180787863
2008,0.9741888180787863
job,0.9741888180787863
cuts,0.9741888180787863
