Feature,Pointwise Mutual Information
decline,1.5022793286397813
started,1.5022793286397813
natural,1.5022793286397813
gas,1.5022793286397813
begin,1.5022793286397813
w,1.5022793286397813
bushs,1.5022793286397813
<s> <s> <s> when did,1.5022793286397813
<s> <s> when did the,1.5022793286397813
<s> when did the decline,1.5022793286397813
when did the decline of,1.5022793286397813
did the decline of coal,1.5022793286397813
the decline of coal start,1.5022793286397813
decline of coal start it,1.5022793286397813
of coal start it started,1.5022793286397813
coal start it started when,1.5022793286397813
start it started when natural,1.5022793286397813
it started when natural gas,1.5022793286397813
started when natural gas took,1.5022793286397813
when natural gas took off,1.5022793286397813
natural gas took off that,1.5022793286397813
gas took off that started,1.5022793286397813
took off that started to,1.5022793286397813
off that started to begin,1.5022793286397813
that started to begin in,1.5022793286397813
started to begin in president,1.5022793286397813
to begin in president george,1.5022793286397813
begin in president george w,1.5022793286397813
in president george w bushs,1.5022793286397813
president george w bushs administration,1.5022793286397813
george w bushs administration </s>,1.5022793286397813
w bushs administration </s> </s>,1.5022793286397813
bushs administration </s> </s> </s>,1.5022793286397813
administration </s> </s> </s> </s>,1.5022793286397813
agrees,1.5022793286397813
voting,1.5022793286397813
benefit,1.5022793286397813
doubt,1.5022793286397813
<s> <s> hillary clinton agrees,1.5022793286397813
<s> hillary clinton agrees with,1.5022793286397813
hillary clinton agrees with john,1.5022793286397813
clinton agrees with john mccain,1.5022793286397813
agrees with john mccain by,1.5022793286397813
with john mccain by voting,1.5022793286397813
john mccain by voting to,1.5022793286397813
mccain by voting to give,1.5022793286397813
by voting to give george,1.5022793286397813
voting to give george bush,1.5022793286397813
to give george bush the,1.5022793286397813
give george bush the benefit,1.5022793286397813
george bush the benefit of,1.5022793286397813
bush the benefit of the,1.5022793286397813
the benefit of the doubt,1.5022793286397813
benefit of the doubt on,1.5022793286397813
of the doubt on iran,1.5022793286397813
the doubt on iran </s>,1.5022793286397813
doubt on iran </s> </s>,1.5022793286397813
economic,1.5022793286397813
<s> <s> <s> the economic,1.5022793286397813
<s> <s> the economic turnaround,1.5022793286397813
<s> the economic turnaround started,1.5022793286397813
the economic turnaround started at,1.5022793286397813
economic turnaround started at the,1.5022793286397813
turnaround started at the end,1.5022793286397813
started at the end of,1.5022793286397813
at the end of my,1.5022793286397813
the end of my term,1.5022793286397813
end of my term </s>,1.5022793286397813
of my term </s> </s>,1.5022793286397813
my term </s> </s> </s>,1.5022793286397813
chicago,1.5022793286397813
bears,1.5022793286397813
starting,1.5022793286397813
quarterbacks,1.5022793286397813
tenured,1.5022793286397813
uw,1.5022793286397813
faculty,1.5022793286397813
fired,1.5022793286397813
<s> <s> <s> the chicago,1.5022793286397813
<s> <s> the chicago bears,1.5022793286397813
<s> the chicago bears have,1.5022793286397813
the chicago bears have had,1.5022793286397813
chicago bears have had more,1.5022793286397813
bears have had more starting,1.5022793286397813
have had more starting quarterbacks,1.5022793286397813
had more starting quarterbacks in,1.5022793286397813
more starting quarterbacks in the,1.5022793286397813
starting quarterbacks in the last,1.5022793286397813
quarterbacks in the last 10,1.5022793286397813
in the last 10 years,1.5022793286397813
the last 10 years than,1.5022793286397813
last 10 years than the,1.5022793286397813
10 years than the total,1.5022793286397813
years than the total number,1.5022793286397813
than the total number of,1.5022793286397813
the total number of tenured,1.5022793286397813
total number of tenured uw,1.5022793286397813
number of tenured uw faculty,1.5022793286397813
of tenured uw faculty fired,1.5022793286397813
tenured uw faculty fired during,1.5022793286397813
uw faculty fired during the,1.5022793286397813
faculty fired during the last,1.5022793286397813
fired during the last two,1.5022793286397813
during the last two decades,1.5022793286397813
the last two decades </s>,1.5022793286397813
last two decades </s> </s>,1.5022793286397813
two decades </s> </s> </s>,1.5022793286397813
actively,1.5022793286397813
passing,1.5022793286397813
russ,1.5022793286397813
feingold,1.5022793286397813
toughest,1.5022793286397813
ethics,1.5022793286397813
watergate,1.5022793286397813
<s> <s> i m the,1.5022793286397813
<s> i m the only,1.5022793286397813
i m the only person,1.5022793286397813
m the only person on,1.5022793286397813
the only person on this,1.5022793286397813
only person on this stage,1.5022793286397813
person on this stage who,1.5022793286397813
on this stage who has,1.5022793286397813
this stage who has worked,1.5022793286397813
stage who has worked actively,1.5022793286397813
who has worked actively just,1.5022793286397813
has worked actively just last,1.5022793286397813
worked actively just last year,1.5022793286397813
actively just last year passing,1.5022793286397813
just last year passing along,1.5022793286397813
last year passing along with,1.5022793286397813
year passing along with russ,1.5022793286397813
passing along with russ feingold,1.5022793286397813
along with russ feingold some,1.5022793286397813
with russ feingold some of,1.5022793286397813
russ feingold some of the,1.5022793286397813
feingold some of the toughest,1.5022793286397813
some of the toughest ethics,1.5022793286397813
of the toughest ethics reform,1.5022793286397813
the toughest ethics reform since,1.5022793286397813
toughest ethics reform since watergate,1.5022793286397813
ethics reform since watergate </s>,1.5022793286397813
reform since watergate </s> </s>,1.5022793286397813
since watergate </s> </s> </s>,1.5022793286397813
watergate </s> </s> </s> </s>,1.5022793286397813
however,1.5022793286397813
lottery,1.5022793286397813
funds,1.5022793286397813
newport,1.5022793286397813
eventually,1.5022793286397813
noaa,1.5022793286397813
marine,1.5022793286397813
operations,1.5022793286397813
pacific,1.5022793286397813
<s> <s> <s> <s> however,1.5022793286397813
<s> <s> <s> however it,1.5022793286397813
<s> <s> however it took,1.5022793286397813
<s> however it took 19,1.5022793286397813
however it took 19 5,1.5022793286397813
it took 19 5 million,1.5022793286397813
took 19 5 million in,1.5022793286397813
19 5 million in oregon,1.5022793286397813
5 million in oregon lottery,1.5022793286397813
million in oregon lottery funds,1.5022793286397813
in oregon lottery funds for,1.5022793286397813
oregon lottery funds for the,1.5022793286397813
lottery funds for the port,1.5022793286397813
funds for the port of,1.5022793286397813
for the port of newport,1.5022793286397813
the port of newport to,1.5022793286397813
port of newport to eventually,1.5022793286397813
of newport to eventually land,1.5022793286397813
newport to eventually land the,1.5022793286397813
to eventually land the new,1.5022793286397813
eventually land the new noaa,1.5022793286397813
land the new noaa marine,1.5022793286397813
the new noaa marine operations,1.5022793286397813
new noaa marine operations center,1.5022793286397813
noaa marine operations center pacific,1.5022793286397813
marine operations center pacific </s>,1.5022793286397813
operations center pacific </s> </s>,1.5022793286397813
center pacific </s> </s> </s>,1.5022793286397813
pacific </s> </s> </s> </s>,1.5022793286397813
gop,1.5022793286397813
primary,1.5022793286397813
opponents,1.5022793286397813
joe,1.5022793286397813
leibham,1.5022793286397813
cast,1.5022793286397813
compromise,1.5022793286397813
788,1.5022793286397813
higher,1.5022793286397813
electricity,1.5022793286397813
<s> <s> <s> says gop,1.5022793286397813
<s> <s> says gop primary,1.5022793286397813
<s> says gop primary opponents,1.5022793286397813
says gop primary opponents glenn,1.5022793286397813
gop primary opponents glenn grothman,1.5022793286397813
primary opponents glenn grothman and,1.5022793286397813
opponents glenn grothman and joe,1.5022793286397813
glenn grothman and joe leibham,1.5022793286397813
grothman and joe leibham cast,1.5022793286397813
and joe leibham cast a,1.5022793286397813
joe leibham cast a compromise,1.5022793286397813
leibham cast a compromise vote,1.5022793286397813
cast a compromise vote that,1.5022793286397813
a compromise vote that cost,1.5022793286397813
compromise vote that cost 788,1.5022793286397813
vote that cost 788 million,1.5022793286397813
that cost 788 million in,1.5022793286397813
cost 788 million in higher,1.5022793286397813
788 million in higher electricity,1.5022793286397813
million in higher electricity costs,1.5022793286397813
in higher electricity costs </s>,1.5022793286397813
higher electricity costs </s> </s>,1.5022793286397813
electricity costs </s> </s> </s>,1.5022793286397813
costs </s> </s> </s> </s>,1.5022793286397813
popular,1.5022793286397813
margin,1.5022793286397813
smaller,1.5022793286397813
latino,1.5022793286397813
<s> <s> for the first,1.5022793286397813
<s> for the first time,1.5022793286397813
for the first time in,1.5022793286397813
the first time in history,1.5022793286397813
first time in history the,1.5022793286397813
time in history the share,1.5022793286397813
in history the share of,1.5022793286397813
history the share of the,1.5022793286397813
the share of the national,1.5022793286397813
share of the national popular,1.5022793286397813
of the national popular vote,1.5022793286397813
the national popular vote margin,1.5022793286397813
national popular vote margin is,1.5022793286397813
popular vote margin is smaller,1.5022793286397813
vote margin is smaller than,1.5022793286397813
margin is smaller than the,1.5022793286397813
is smaller than the latino,1.5022793286397813
smaller than the latino vote,1.5022793286397813
than the latino vote margin,1.5022793286397813
the latino vote margin </s>,1.5022793286397813
latino vote margin </s> </s>,1.5022793286397813
vote margin </s> </s> </s>,1.5022793286397813
margin </s> </s> </s> </s>,1.5022793286397813
slipped,1.5022793286397813
poverty,1.5022793286397813
<s> <s> <s> since 2000,1.5022793286397813
<s> <s> since 2000 nearly,1.5022793286397813
<s> since 2000 nearly 12,1.5022793286397813
since 2000 nearly 12 million,1.5022793286397813
2000 nearly 12 million americans,1.5022793286397813
nearly 12 million americans have,1.5022793286397813
12 million americans have slipped,1.5022793286397813
million americans have slipped out,1.5022793286397813
americans have slipped out of,1.5022793286397813
have slipped out of the,1.5022793286397813
slipped out of the middle,1.5022793286397813
